"Month","State.Postal.Code","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips.1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips.500","year"
"80",2,"ND",4073933,17143207,70682251,18461599,20124350,9435311,8788558,6710639,3390689,2321053,1080629,229636,139787,2019
"81",2,"NE",10168911,43685561,190548435,46674193,51705955,24588033,28859330,23350173,8265899,4281495,2043151,484299,295907,2019
"82",2,"NH",7031667,30833041,131727081,25564933,32489486,16357920,20279406,22862033,9822770,3164634,849053,134075,202771,2019
"83",2,"NJ",50161468,198514736,920458250,244116046,230184189,108956473,136213281,132041677,47700004,14849136,4330867,925566,1141011,2019
"84",2,"NM",11199342,47293302,239181826,60751402,65498215,30827974,35503946,27190213,10223818,5692131,2511879,658301,323947,2019
"85",2,"NV",17688316,67014960,290977258,80458456,71394515,36578856,49286324,39872392,6913129,3054271,2089881,804447,524987,2019
"86",2,"NY",133399291,412110037,2202479852,622766608,552071909,270381759,338560340,296678266,81125447,25697988,9998950,2325330,2873255,2019
"87",2,"OH",62607190,263696774,1143034461,279930471,283998390,138316679,178698385,180179789,53249616,17299555,8157994,1948167,1255415,2019
"88",2,"OK",20625604,89443068,375788758,93613656,96635291,45067884,55277459,55972374,17895020,6959479,3346549,680656,340390,2019
"89",2,"OR",24710982,92270246,426404525,114536695,116686336,52894215,59267812,56215271,16350627,6257060,2910983,555982,729544,2019
"90",2,"PA",71179149,286322471,1229252878,311466770,310520029,153255085,191579222,177063573,53960447,19533537,8758912,1807775,1307528,2019
"91",2,"RI",5703630,23810694,102970598,25582338,27132785,12805499,15595799,15075386,4881392,1318075,380427,76027,122870,2019
"92",2,"SC",23301695,118618629,474828035,104816437,118886464,61809500,78672899,75131773,22465505,7491552,4249794,869573,434538,2019
"93",2,"SD",4743933,19883047,85978275,22017064,23841966,10675698,11430052,9658230,4450009,2316837,1176475,278509,133435,2019
"94",2,"TN",33476963,155503941,647665745,142970197,162394286,81396512,104085089,104260208,33203973,10731761,5991886,1776763,855070,2019
"95",2,"TX",131379942,669815166,2664177687,660046906,663540036,319784561,399654101,401479841,142402591,45146872,22417321,6437227,3268231,2019
"96",2,"UT",17361728,70878620,340590482,85264925,88579544,43316408,50898220,45079108,16937041,5285977,3226205,1223924,779130,2019
"97",2,"VA",42913019,194853321,846850654,208361805,209659681,106767229,132980528,126401747,40631081,13658096,5838505,1418061,1133921,2019
"98",2,"VT",3597570,13885182,60462878,13094637,15536321,7912262,9180814,9263758,3713554,1056715,503009,104479,97329,2019
"99",2,"WA",40452223,169899457,743028484,187299568,188954255,90941699,113931342,110161056,34853327,9886340,4572514,835339,1593044,2019
"100",2,"WI",29627025,132655375,575166769,129539043,142800381,71047000,90205091,89201427,33193272,11596523,5548920,1186502,848610,2019
"101",2,"WV",10490023,39918657,163195778,36815698,42745619,20772336,25392802,23259872,8974664,3485755,1359580,276693,112759,2019
"102",2,"WY",3496542,12630618,61718581,16356736,18514235,8166260,6404554,5287058,3671478,2156845,903490,162358,95567,2019
"103",3,"AK",5548871,17241771,92173651,25859949,26198227,12819530,13355664,8707012,3463326,1112501,297179,123384,236879,2019
"104",3,"AL",24655042,126405912,566532646,119216261,142770410,76342981,92284342,89703066,30708321,10283891,4049187,938359,235828,2019
"105",3,"AR",15584163,77558933,344849698,76461240,89890373,44649533,53234054,51220436,18667951,7208630,2639305,666481,211695,2019
"106",3,"AZ",43961716,177679790,846672751,217338143,217834631,103942430,124408350,125277887,37719790,11100504,6195904,1615452,1239660,2019
"107",3,"CA",251881519,970638697,4678655249,1206558767,1210272364,546084502,683150519,673026369,239874076,80757607,26725354,6344536,5861155,2019
"108",3,"CO",38681959,137340877,791522946,194018671,213574379,97650836,119897146,113097114,33069640,12647031,4564876,1177746,1825507,2019
"109",3,"CT",21700453,88713642,436512327,99081466,113566107,54016002,68020814,68632636,22776512,7113908,1791156,447784,1065942,2019
"110",3,"DC",6616747,15092801,99571774,35044026,25318354,13879969,15058900,7895269,1463853,332276,270973,123946,184208,2019
"111",3,"DE",5672525,24218109,110567657,24738444,27719745,13472907,18101358,17251646,6359656,1951061,798965,103499,70376,2019
"112",3,"FL",106067923,552192959,2473208448,629082212,625396015,315826681,392626631,358217467,103604355,29642907,13258105,2971308,2582767,2019
"113",3,"GA",56614751,268492262,1200980934,263866817,295030637,151006145,196237218,191031554,68578422,20040934,10937532,2818471,1433204,2019
"114",3,"HI",9445519,34455131,164244338,48740282,42823865,17985022,23398378,27021769,3075288,695797,260824,89254,153859,2019
"115",3,"IA",18601895,78939512,407143071,91056088,109068159,49738407,58978330,60853993,23244177,8756545,3957357,966395,523620,2019
"116",3,"ID",10784460,43429797,206227252,47794788,58413404,27721788,30508111,25625000,9540579,3830229,1942001,508640,342712,2019
"117",3,"IL",82793672,310972451,1714620653,432860297,428697949,209170267,260959259,259852030,85899887,20397842,10866784,3422055,2494283,2019
"118",3,"IN",39018640,167795566,849998595,201967389,211314791,106319675,132422137,132511558,42993956,13829123,6378114,1477785,784067,2019
"119",3,"KS",17389508,72591123,389686734,97763041,104485903,45061926,54241389,55530101,20419898,7329078,3397663,969522,488213,2019
"120",3,"KY",26645187,111451815,583303231,125685173,148682674,77016914,95091875,90344567,30299094,9905638,4815123,1014562,447611,2019
"121",3,"LA",24968734,119048927,638016768,159806520,161337860,81041729,101701238,86492906,30302823,12387200,3917875,692208,336409,2019
"122",3,"MA",46516827,166795816,1000834610,244448832,265409150,126938562,151376058,147412740,47614204,11750670,3035414,666005,2182975,2019
"123",3,"MD",34685586,152066164,737134867,171531167,177131013,87841720,120576990,124967911,40252423,9190160,3901438,862992,879053,2019
"124",3,"ME",8853691,32510043,149084370,28930659,36749359,19594514,23480675,25194142,10071349,3403158,1211165,186745,262604,2019
"125",3,"MI",58915306,250010947,1227595184,276226429,294881286,151612405,200641607,206414518,67161793,19346991,8001756,1764013,1544386,2019
"126",3,"MN",31928622,141486339,699356688,161130533,164955614,79829975,107203510,122986022,40842675,13825825,6149778,1188248,1244508,2019
"127",3,"MO",38223305,151116170,758318989,173121107,190227080,90156281,118046379,124419094,41691018,12197785,5969825,1610249,880171,2019
"128",3,"MS",14582403,77717121,328526618,76961931,83282141,37115682,48532728,50385744,20125148,7898623,3301102,747724,175795,2019
"129",3,"MT",7334423,25496375,128674299,34717793,38214836,15597126,15797094,12836501,6149906,3421922,1420354,276180,242587,2019
"130",3,"NC",54802358,266105953,1293804667,276482722,327758762,168566497,213643037,208453252,67985305,19349747,8497113,1939060,1129172,2019
"131",3,"ND",4516181,18974224,91897206,23841770,26721089,12522338,10697687,8511941,4545581,3218044,1457014,251466,130276,2019
"132",3,"NE",11112990,48511604,246953104,57387469,67721782,32263271,38467925,31952778,10897588,5154020,2264242,533248,310781,2019
"133",3,"NH",8004514,33917127,166266112,30014930,38730717,21158046,27204544,31174334,12763614,3755719,1008490,133672,322046,2019
"134",3,"NJ",56657103,218662980,1181386150,313363033,303222785,141433027,173239349,165635419,58878215,17652819,5521085,1223400,1217018,2019
"135",3,"NM",12713633,52046080,296188536,72920132,83380208,38610263,43268472,32577068,13557420,7720126,3070701,745716,338430,2019
"136",3,"NV",20615730,73162897,362670959,99858899,92271839,45872098,58597232,47404553,9710973,4673956,2795345,886140,599924,2019
"137",3,"NY",151135552,452821204,2755257324,764377548,689069205,343084148,430313198,377695168,102596613,30343676,11203764,2764909,3809095,2019
"138",3,"OH",70701695,290563408,1438889466,339228412,348003692,174423823,234361643,242071246,68456382,20468004,8416140,2126454,1333670,2019
"139",3,"OK",22707529,99154215,467699784,118268341,118779550,54169162,67581072,72857447,22984850,8441209,3610825,690589,316739,2019
"140",3,"OR",28771460,100743471,518463223,127554882,149757980,66381926,70980287,69738264,20858815,8136537,3444572,723831,886129,2019
"141",3,"PA",80362013,315443352,1540025129,375139200,389971511,193256730,245510729,231983743,66960608,23241253,10816456,1955786,1189113,2019
"142",3,"RI",6456160,26220413,128094187,29144082,32591720,16027211,20793896,20872660,6560711,1424909,337756,84950,256292,2019
"143",3,"SC",25706071,131420002,604027523,129519168,152606198,77940655,99827884,99617971,29495170,9281352,4411488,869558,458079,2019
"144",3,"SD",5267600,21997985,112815260,29151258,32223097,13747614,14446501,12555440,5753309,3062022,1441543,295450,139026,2019
"145",3,"TN",37494778,171734080,828353972,177876165,208267353,105002495,135090305,137755971,42033528,13343614,6373660,1751413,859468,2019
"146",3,"TX",145518576,741518865,3320216372,809699205,835581728,393476145,495833713,511187376,179950782,58133388,26826577,6508652,3018806,2019
"147",3,"UT",20283136,77411535,418274368,104268429,111984864,53239736,61178661,54152331,19988188,6452304,4644977,1372706,992172,2019
"148",3,"VA",47973247,215268058,1085001305,258908728,272904878,137063100,172320598,167417479,51527657,15443396,6266406,1744199,1404864,2019
"149",3,"VT",4094975,15260929,75683093,15273575,19456744,10347823,11773883,12121613,4633916,1242366,554182,94060,184931,2019
"150",3,"WA",46246056,186643304,923997590,212621702,250803153,118827058,141670936,136319789,43238036,12145022,5424120,986507,1961267,2019
"151",3,"WI",32677781,146992019,737207423,157301955,179504322,89707548,119358533,123965570,44347903,14324831,6289459,1343913,1063389,2019
"152",3,"WV",11948741,43860869,207502735,46169280,55450628,26930567,32600582,29792184,10771322,3789498,1573129,294419,131126,2019
"153",3,"WY",3991916,13863154,79781911,21227050,24205899,10738552,7802006,6493119,4771598,3100114,1162502,177088,103983,2019
"154",4,"AK",5470036,16585424,101696377,29124236,29743887,14371721,14473523,9199582,3287282,974102,284573,99383,138088,2019
"155",4,"AL",24364711,121823309,615371605,126857558,157294307,83309952,100622396,98718642,33876349,10405824,3327585,748056,210936,2019
"156",4,"AR",15424367,74714113,379105933,81756484,97942682,49925005,59757306,57870085,21112163,7747338,2315782,512495,166593,2019
"157",4,"AZ",42163697,172328083,885086503,216706813,231607836,110514438,132993639,134193732,38944666,12139741,5780364,1321091,884183,2019
"158",4,"CA",243879342,939204738,5070832121,1323730467,1322650099,578794101,732845302,738471064,254569943,81569113,26947459,5860593,5393980,2019
"159",4,"CO",37258142,133086538,861538150,207335725,240059503,107780086,129958320,121310123,35961649,12306344,4362160,1021790,1442450,2019
"160",4,"CT",21831247,85021103,466048963,100782243,121316708,59085317,75349154,76344553,23327362,6459856,1613010,628566,1142194,2019
"161",4,"DC",6581468,14427772,106661668,39545500,26784542,15120810,15554665,7631232,1155058,263814,243922,128859,233266,2019
