"Month","State.Postal.Code","cases"
"463",11,"SC",5897776
"464",11,"SD",1938994
"465",11,"TN",9231001
"466",11,"TX",33104736
"467",11,"UT",4662973
"468",11,"VA",6195771
"469",11,"VT",91482
"470",11,"WA",4172887
"471",11,"WI",9932235
"472",11,"WV",1046960
"473",11,"WY",698301
"474",12,"AK",1278752
"475",12,"AL",9513716
"476",12,"AR",5960217
"477",12,"AZ",13328487
"478",12,"CA",53961030
"479",12,"CO",9135593
"480",12,"CT",4793649
"481",12,"DC",790037
"482",12,"DE",1466659
"483",12,"FL",35950671
"484",12,"GA",16888026
"485",12,"HI",611372
"486",12,"IA",8057514
"487",12,"ID",3855984
"488",12,"IL",26821457
"489",12,"IN",13622860
"490",12,"KS",6058556
"491",12,"KY",7192976
"492",12,"LA",8533266
"493",12,"MA",9388617
"494",12,"MD",7457248
"495",12,"ME",542935
"496",12,"MI",14692014
"497",12,"MN",11794182
"498",12,"MO",11517880
"499",12,"MS",5744183
"500",12,"MT",2294485
"501",12,"NC",14063411
"502",12,"ND",2721037
"503",12,"NE",4706456
"504",12,"NH",1021905
"505",12,"NJ",12848523
"506",12,"NM",3813148
"507",12,"NV",5978140
"508",12,"NY",25200181
"509",12,"OH",17895416
"510",12,"OK",7619429
"511",12,"OR",3000761
"512",12,"PA",16063356
"513",12,"RI",2303209
"514",12,"SC",8095910
"515",12,"SD",2843018
"516",12,"TN",14564881
"517",12,"TX",47212101
"518",12,"UT",7429166
"519",12,"VA",9076350
"520",12,"VT",185248
"521",12,"WA",6674793
"522",12,"WI",14724521
"523",12,"WV",2081323
"524",12,"WY",1239260
